"","Fielding","GP","GS","C","PO","A","E","FLD%","DP","TP","SBA","RCS","SBA%","PB","CI","OBS"
"1","Pitzer, Cameron",1,0,2,2,0,0,1,0,0,0,0,0,0,0,0
"2","Mckinney, Matt",4,0,9,9,0,0,1,0,0,0,0,0,0,0,0
"3","Young, Owen",5,3,13,13,0,0,1,2,0,0,0,0,0,0,0
"4","Froehlke, Ethan",2,0,2,0,2,0,1,0,0,0,0,0,0,0,0
"5","Butz, Joey",12,5,7,3,4,0,1,1,0,0,0,0,0,0,0
"6","Natividad, Andrew",35,23,22,17,5,0,1,1,0,0,0,0,0,0,0
"7","Davit, Nick",23,5,7,7,0,0,1,0,0,0,0,0,0,0,0
"8","Freeman, Gabe",20,1,2,1,1,0,1,0,0,0,0,0,0,0,0
"9","Gray, Jarret",32,9,42,39,3,0,1,1,0,0,0,0,0,0,0
"10","Bonilla, Gustavo",37,35,269,248,19,2,0.993,0,0,13,9,0.591,13,1,0
"11","Pritchard, Austin",32,32,206,192,12,2,0.99,9,0,0,0,0,0,0,0
"12","Mccutcheon, Ian",42,42,157,80,74,3,0.981,12,0,0,0,0,0,0,0
"13","Clark, Donovan",41,39,80,78,0,2,0.975,0,0,0,0,0,0,0,0
"14","Knust, Eli",18,8,70,62,6,2,0.971,0,0,6,3,0.667,4,1,0
"15","Roser, Adam",34,31,33,29,3,1,0.97,2,0,0,0,0,0,0,0
"16","Perez, Adrian",34,29,58,52,4,2,0.966,0,0,0,0,0,0,0,0
"17","Hansen, Jacob",20,12,22,20,1,1,0.955,0,0,0,0,0,0,0,0
"18","Landrum, Collin",35,27,53,48,2,3,0.943,0,0,0,0,0,0,0,0
"19","Mccutcheon, Alex",14,12,30,9,19,2,0.933,2,0,0,0,0,0,0,0
"20","Wilson, Satchell",42,41,157,48,97,12,0.924,13,0,0,0,0,0,0,0
"21","Moore, DJ",10,9,11,3,7,1,0.909,1,0,0,0,0,0,0,0
"22","Lichty, Daniel",42,42,130,37,80,13,0.9,2,0,0,0,0,0,0,0
"23","Shinabery, Mason",18,6,15,1,12,2,0.867,0,0,0,0,0,0,0,0
"24","Landrum, Caleb",11,6,7,1,4,2,0.714,0,0,0,0,0,0,0,0
"25","Turner, Brent",15,3,8,2,3,3,0.625,1,0,0,0,0,0,0,0
"26","Kunce, Matt",13,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","Moser, Max",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","Watson, Jesse",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","Hale, Ryan",27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","Total:",42,NA,1412,1001,358,53,0.962,20,0,19,12,0.613,17,2,0
"31","Opponents:",42,NA,1454,994,394,66,0.955,22,0,108,29,0.788,17,0,0
